id,name,state,forest
407,WHITE FIR CREEK,California,Stanislaus National Forest
408,SMITH PEAK,California,Stanislaus National Forest
409,HULL CREEK OHV - 4X4,California,Stanislaus National Forest
410,RAILROAD, SOUTH FORK TUOLUMNE,California,Stanislaus National Forest
411,YOSEMITE BORDER,California,Stanislaus National Forest
412,BONDURANT,California,Stanislaus National Forest
413,L.G.C.F FALLS ( SPUR ),California,Stanislaus National Forest
414,CLAVEY RIVER,California,Stanislaus National Forest
415,PILOT RIDGE,California,Stanislaus National Forest
416,NORTH MOUNTAIN LOOKOUT,California,Stanislaus National Forest
417,MATHER,California,Stanislaus National Forest
418,HULL CREEK OHV - ATV,California,Stanislaus National Forest
419,LIVING FOREST NATURE TRAIL,California,Stanislaus National Forest
420,DIAMOND O,California,Stanislaus National Forest
421,ACCESS S. FORK MOKELUMNE,California,Stanislaus National Forest
422,STANISLAUS RIVER ACCESS 5N07.4,California,Stanislaus National Forest
423,TAWONGA CAMP,California,Stanislaus National Forest
424,DIAMOND O,California,Stanislaus National Forest
425,PRATHER,California,Stanislaus National Forest
426,MCTC: 7N58 TO 7N19Y,California,Stanislaus National Forest
427,ADJACENT TO ROAD 1S25.4,California,Stanislaus National Forest
428,MIDDLE FORK CAMPGROUND,California,Stanislaus National Forest
429,ITALIAN DIGGIN,California,Stanislaus National Forest
431,GARNET HILL TO CUNEO CAMP,California,Stanislaus National Forest
432,BORDER CALAVERAS / TUOLOUMNE C,California,Stanislaus National Forest
433,CARLON CAMPGROUND,California,Stanislaus National Forest
434,CANDY ROCK,California,Stanislaus National Forest
435,NORTH FORK STANISLAUS,California,Stanislaus National Forest
436,WALKER TO16E20,California,Stanislaus National Forest
437,SPICER AREA / SPICER / SAND,California,Stanislaus National Forest
438,MT. REBA SKI AREA,California,Stanislaus National Forest
439,HIRAM PK. TO HIGHLAND LAKES,California,Stanislaus National Forest
440,U.S.A. CAMP / SPICER RESERVOIR,California,Stanislaus National Forest
441,CABBAGE PATCH,California,Stanislaus National Forest
442,WOLF CREEK,California,Stanislaus National Forest
443,HIRAM PEAK,California,Stanislaus National Forest
444,WHEELER LAKE BYPASS,California,Stanislaus National Forest
445,COW CAMP,California,Stanislaus National Forest
446,DIAMOND O,California,Stanislaus National Forest
447,DIAMOND O,California,Stanislaus National Forest
448,LITTLE GRIZZLEY CREEK,California,Stanislaus National Forest
449,LITTLE RATTLESNAKE,California,Stanislaus National Forest
450,BIG TREES,California,Stanislaus National Forest
451,CARLON STATION,California,Stanislaus National Forest
452,ADJACENT TO ROAD 1S25.4,California,Stanislaus National Forest
453,DIAMOND O,California,Stanislaus National Forest
454,LITTLE CRANE CREEK,California,Stanislaus National Forest
455,MANUEL MILL,California,Stanislaus National Forest
456,CABBAGE PATCH TO 6N45J,California,Stanislaus National Forest
457,HEISER LAKE EXT.,California,Stanislaus National Forest
458,ALPINE HORSE TRAIL LOOP,California,Stanislaus National Forest
459,A.T.&T.,California,Stanislaus National Forest
460,BEAR TRAP BASIN,California,Stanislaus National Forest
461,FROG LAKE,California,Stanislaus National Forest
462,CHAMPION CANYON,California,Stanislaus National Forest
463,CAPE HORN TO EMIGRANT,California,Stanislaus National Forest
464,NORTH FORK STANISLAUS,California,Stanislaus National Forest
465,LODGEPOLE,California,Stanislaus National Forest
466,BUMMER / POST CORRAL,California,Stanislaus National Forest
467,SANDS MEADOW,California,Stanislaus National Forest
468,HELLS KITCHEN LOOP,California,Stanislaus National Forest
469,HWY.4 TO 7N11A,California,Stanislaus National Forest
470,ALPINE BYPASS,California,Stanislaus National Forest
471,DEER CREEK,California,Stanislaus National Forest
472,FROM 19E43 TO 19E02,California,Stanislaus National Forest
473,BULL RUN,California,Stanislaus National Forest
474,WHITTLE UPPER CAMP,California,Stanislaus National Forest
475,HIRAM MEADOW TO 19E43,California,Stanislaus National Forest
476,HIRAM CANYON,California,Stanislaus National Forest
477,COTTONWOOD CR.,California,Stanislaus National Forest
478,KNIGHT CREEK,California,Stanislaus National Forest
479,RUSHING MEADOW,California,Stanislaus National Forest
480,PAPER CABIN TO TUOLUMNE RIVER,California,Stanislaus National Forest
481,NORTH FORK MOKELUMNE RIVER,California,Stanislaus National Forest
482,MAIL ROAD / WOLFIN MEADOW,California,Stanislaus National Forest
483,CIRCLE,California,Stanislaus National Forest
484,HUNTER CR. OVERLOOK,California,Stanislaus National Forest
485,KELTZ MINE,California,Stanislaus National Forest
486,SONNET MINE,California,Stanislaus National Forest
487,THIRTEN MILE CREEK,California,Stanislaus National Forest
488,CAMP IDA SPRING,California,Stanislaus National Forest
489,THOMAS PEAK,California,Stanislaus National Forest
490,JACK ASS CAMP,California,Stanislaus National Forest
491,MT. LEWIS,California,Stanislaus National Forest
492,ROGGE TRAIL,California,Stanislaus National Forest
493,PACIFIC CREST TRAIL,California,Stanislaus National Forest
494,FAHEY CABIN,California,Stanislaus National Forest
495,THOMAS / CLAVEY,California,Stanislaus National Forest
496,WILLOW,California,Stanislaus National Forest
497,RALPH RANCH,California,Stanislaus National Forest
498,TYRON MEADOW,California,Stanislaus National Forest
499,STANISLAUS TUNNEL,California,Stanislaus National Forest
500,RUSHING MEADOW SPUR,California,Stanislaus National Forest
501,ITALIAN BAR,California,Stanislaus National Forest
502,WEST SIDE R/R GRADE,California,Stanislaus National Forest
503,TWAIN HARTE HORSEMEN,California,Stanislaus National Forest
504,RIVERSIDE SPUR,California,Stanislaus National Forest
505,LUCKY STRIKE,California,Stanislaus National Forest
506,HWY 108 SNOW TRAIL,California,Stanislaus National Forest
507,WEST FORK CHERRY,California,Stanislaus National Forest
508,TOULUMNE RIVER,California,Stanislaus National Forest
509,LOWER CLAVEY,California,Stanislaus National Forest
510,WEST HERRING CREEK,California,Stanislaus National Forest
511,7N75 SNOW TRAIL,California,Stanislaus National Forest
513,NORTH FORK INTERPERATIVE,California,Stanislaus National Forest
514,BASIN CREEK CAMPGROUND,California,Stanislaus National Forest
515,8N01 SNOW TRAIL,California,Stanislaus National Forest
516,5N01 SNOW TRAIL,California,Stanislaus National Forest
517,PINECREST TO STRAWBERRY,California,Stanislaus National Forest
518,TUNNEL CR. R/R GRADE,California,Stanislaus National Forest
519,7N01G SNOW TRAIL,California,Stanislaus National Forest
520,7N01 SNOW TRAIL,California,Stanislaus National Forest
521,BOURLAND MEADOW,California,Stanislaus National Forest
522,SHEERING CREEK,California,Stanislaus National Forest
523,BELL MOUNTAIN,California,Stanislaus National Forest
524,GRAPEVINE,California,Stanislaus National Forest
525,TROUT OVERLOOK,California,Stanislaus National Forest
526,DOUBLE "S",California,Stanislaus National Forest
527,HWY 4 SNOW TRAIL,California,Stanislaus National Forest
528,SPRING GAP FOOTBRIDGE / DONNEL,California,Stanislaus National Forest
529,UPPER CLAVEY,California,Stanislaus National Forest
530,7N17 SNOW TRAIL,California,Stanislaus National Forest
531,HUNTER CREEK,California,Stanislaus National Forest
532,6N65Y SNOW TRAIL,California,Stanislaus National Forest
533,MIDDLE FORK STANISLAUS,California,Stanislaus National Forest
534,CHINA FLAT,California,Stanislaus National Forest
535,MIDDLE FORK STANISLAUS,California,Stanislaus National Forest
536,NEAR 5N28,California,Stanislaus National Forest
537,STRAW / FRASER FLAT RR BIKE TR,California,Stanislaus National Forest
538,MCTC: 7N11 TO 17E27,California,Stanislaus National Forest
539,HULL CREEK OHV - ATV,California,Stanislaus National Forest
540,HULL CREEK OHV - ATV,California,Stanislaus National Forest
541,MCTC: 7N14 TO 7N14D,California,Stanislaus National Forest
542,P8#2,California,Stanislaus National Forest
543,HULL CREEK OHV - 4X4,California,Stanislaus National Forest
545,MCTC: 7N56Y TO 7N64Y,California,Stanislaus National Forest
546,MCTC: 7N76Y TO 7N14,California,Stanislaus National Forest
547,MCTC: BEAR VALLEY TO 7N20,California,Stanislaus National Forest
548,HULL CREEK OHV - 4X4,California,Stanislaus National Forest
549,P4,California,Stanislaus National Forest
550,MCTC:7N56YA TO 7N56Y,California,Stanislaus National Forest
551,HULL CREEK OHV - ATV,California,Stanislaus National Forest
552,HULL CREEK OHV - 4X4,California,Stanislaus National Forest
553,P12,California,Stanislaus National Forest
554,MCTC: 7N14D TO 7N14C,California,Stanislaus National Forest
555,ART EQUESTRIAN BYPASS,California,Stanislaus National Forest
556,MCTC: 7N64Y TO 17EV17,California,Stanislaus National Forest
558,HULL CREEK OHV - ATV,California,Stanislaus National Forest
560,UPPER LONG LAKE,California,Stanislaus National Forest
561,HULL CREEK OHV - ATV,California,Stanislaus National Forest
563,MCTC: 7N35 TO PVT ROAD,California,Stanislaus National Forest
564,HULL CREEK OHV - 4X4,California,Stanislaus National Forest
565,HULL CREEK OHV - ATV,California,Stanislaus National Forest
566,HULL CREEK OHV - ATV,California,Stanislaus National Forest
567,HULL CREEK OHV - ATV,California,Stanislaus National Forest
568,BEAR SPRINGS,California,Stanislaus National Forest
569,WAR FINANCE,California,Stanislaus National Forest
570,SPUR CROSS,California,Stanislaus National Forest
571,CRYSTAL CAVE,California,Stanislaus National Forest
572,BLUE VISTA TRAIL,California,Stanislaus National Forest
573,PASTURE TRAIL,California,Stanislaus National Forest
574,THOMAS CREEK TRAIL,California,Stanislaus National Forest
575,MCQUAID,California,Stanislaus National Forest
576,UTE CREEK,California,Stanislaus National Forest
577,ST CHARLES ACCESS FROM 335,California,Stanislaus National Forest
599,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
600,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
601,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
602,TWAIN HARTE OHV -M/C,California,Stanislaus National Forest
603,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
604,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
605,CRANDALL PK OHV-ATV,California,Stanislaus National Forest
606,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
607,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
608,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
609,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
610,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
611,TWAIN HATRE OHV-M/C,California,Stanislaus National Forest
